标准编号 	标准名称 										
经销模式 	公司前期投入少，经营风险小，操作方便，货款回笼快，库存风险低；品牌商借助经销商的销售渠道，可以迅速扩张网点，有效开发市场盲区。 	对企业的终端控制能力、市场反应能力要求高。  									
直营模式 	对终端控制力较强，对市场热点反应快，较好的体现品牌形象，毛利率较高。 	扩张速度慢，前期投入大，经营风险大，投资的短期回报率低等。 									
直营模式 	对终端控制力较强，对市场热点反应快，较好的体现品牌形象，毛利率较高。 	扩张速度慢，前期投入大，经营风险大，投资的短期回报率低等。 									
											
销售渠道 	优势 	劣势 									
专卖店 	品牌形象好，容易形成固定消费人群；直营和加盟两者相结合，有利于销售网络的快速建设 	直营店对公司的资金、管理能力要求高，加盟店对公司的管理能力要求高 									
专卖店 	品牌形象好，容易形成固定消费人群；直营和加盟两者相结合，有利于销售网络的快速建设 	直营店对公司的资金、管理能力要求高，加盟店对公司的管理能力要求高 									
销售渠道 	优势 	劣势 									
商场专柜 	人流量大，店铺形象高端，有利品牌形象传播 	店面租金、入场费、商场扣点等项费用较高 									
商场专柜 	人流量大，店铺形象高端，有利品牌形象传播 	店面租金、入场费、商场扣点等项费用较高 									
超市卖场 	人流量大，产品价格具有竞争力 	品牌形象较难体现，销售回款较慢 									
超市卖场 	人流量大，产品价格具有竞争力 	品牌形象较难体现，销售回款较慢 									
批发市场 	人流量大，采购量大 	产品质量存在不确定性 									
批发市场 	人流量大，采购量大 	产品质量存在不确定性 									
网络销售 	方便快捷，无需租赁实体店铺，经营成本低 	产品无法直观呈现，影响购买决策 									
网络销售 	方便快捷，无需租赁实体店铺，经营成本低 	产品无法直观呈现，影响购买决策 									
											
项目 	项目 	水星家纺 	罗莱 	富安娜 	梦洁家纺 						
目标 客户 	目标客户定位 	二、三线城市的高端消费群为主 	一、二线城市的消费群为主 	一、二线城市的消费群为主 	一、二线城市的消费群为主 						
目标 客户 	目标客户定位 	二、三线城市的高端消费群为主 	一、二线城市的消费群为主 	一、二线城市的消费群为主 	一、二线城市的消费群为主 						
目标 客户 	目标客户消费特征 	追求产品的附加值、注重生活风格和品位 	追求较高品质，崇尚舒适、温馨、豪华的生活， 	较为重视生活品质、追求品牌或艺术品位 	追求产品的附加值、注重生活风格和品位 						
目标 客户 	目标客户消费特征 	追求产品的附加值、注重生活风格和品位 	追求较高品质，崇尚舒适、温馨、豪华的生活， 	较为重视生活品质、追求品牌或艺术品位 	追求产品的附加值、注重生活风格和品位 						
品牌 	主要品牌 	“水星”、“百丽丝”  	“罗莱”、“雪瑞丹”、“尚.玛可”和 LOVO 等 	“富安娜”、“馨而乐”、“圣之花”和“维莎”等 	“梦洁”、“寐”和“梦洁宝贝”等 						
产品 	产品设计风格 	亲和适用，现代时尚，色彩丰富，以舒适为首要考虑。 	以欧式化的设计风格为主，充分体现浪漫与优雅的欧洲相融的品牌形象。 	艺术家纺的设计风格 	以中式艺术、欧式古典巴洛克、梦洁婚庆红等为主题概念，追求精致、细节完美。 						
产品 	产品设计风格 	亲和适用，现代时尚，色彩丰富，以舒适为首要考虑。 	以欧式化的设计风格为主，充分体现浪漫与优雅的欧洲相融的品牌形象。 	艺术家纺的设计风格 	以中式艺术、欧式古典巴洛克、梦洁婚庆红等为主题概念，追求精致、细节完美。 						
产品 	价格定位 	中高端价格 	中高端价格 	中高端价格 	中高端价格 						
产品 	价格定位 	中高端价格 	中高端价格 	中高端价格 	中高端价格 						
运营模式 	经营模式 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 						
运营模式 	经营模式 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 	自主研发设计、有自己工厂；生产部分外包 						
运营模式 	销售渠道 	加盟为主，直营、网络销售等其他渠道为辅 	直营与加盟并重，逐步发展网络销售渠道 	直营与加盟并重，逐步发展网络销售渠道 	直营与加盟并重，逐步发展网络销售渠道 						
运营模式 	销售渠道 	加盟为主，直营、网络销售等其他渠道为辅 	直营与加盟并重，逐步发展网络销售渠道 	直营与加盟并重，逐步发展网络销售渠道 	直营与加盟并重，逐步发展网络销售渠道 						
运营模式 	主要市场 	华东、华北、西南地区 	华东、华中地区 	华南、华东地区 	华中地区 						
运营模式 	主要市场 	华东、华北、西南地区 	华东、华中地区 	华南、华东地区 	华中地区 						
											
推广方式 	主要内容 										
广告投入 	2004 年，在行业内率先实行明星代言，聘请香港著名演员刘嘉玲担任“水星”品牌形象代言人，并一直延续至今；同时自 2014 年 9 月至 2016年 9 月，特邀韩国偶像金宇彬为“水星”品牌形象代言人；2016 年 8 月，新生代艺人吴亦凡正式签约为“水星”品牌代言人； 2006 年-2012 年，邀请国内著名影星陈好担任“百丽丝”品牌形象代言人；2012 年 11 月-2015 年 10 月邀请国际名模吴佩慈担任“百丽丝”品牌形象代言人；2016 年 3 月，韩国女团“星星团”成为百丽丝代言人； 2014 年底，与卡通形象蓝精灵、冬己、炮炮兵等达成授权使用协议； 										
推广方式 	主要内容 										
2016 年 6 月，获得著名动漫萌星 Hello Kitty 的使用授权；2016 年 12 月获得本土原创动画形象“喜羊羊与灰太狼”形象使用许可； 在 CCTV“中国好歌曲”、“超级星光大道”、“财经中国夜”、 “星光大道”、“艺术人生”、“综艺盛典”、“我要上春晚”、“欢乐中国行”、“董卿时间”、“中秋晚会”、“艺览天下”、“激情广场”、“文化视界”等栏目中投放广告，年播放近千次； 与湖南卫视《爸爸去哪儿》子栏目《和爸爸在一起》、《天天向上》、《快乐大本营》、《百变大咖秀》、金鹰独播剧场合作；与辽宁卫视《中国魅力》深度合作； 在《青年时讯》、《工业报》、《新京报》、《旅伴》、《和谐之旅》、《报林》、《商界》、《家纺时代》、《品牌家纺》、《高尔夫》等杂志报刊刊登广告； 娱乐营销成为公司品牌宣传的新生力量，先后与电影《LOVE》、电视剧《咱们结婚吧》、电视剧《七年不痒》、电影《爸爸的假期》、电影《咱们结婚吧》、电影《剩者为王》、电视剧《咱们相爱吧》、电视剧《北上广依然相信爱情》合作，在公司相关产品上使用影片场景、片花、宣传海报等素材； 与优酷视频合作，投放电视剧《咱们相爱吧》贴片广告； 在国内沪宁、沪杭等多条高速公路沿线投放高炮广告； 在北京、上海、杭州、南京、天津、沈阳、哈尔滨等大型城市和中小城市的高铁站、地铁、公交车等交通工具上投放广告； 在贵阳机场、全国 900 多列列车投放 LED 屏广告； 											
2008 年，在人民大会堂组织《相约国家奥体、献礼和谐社会——2008阳光行动》，聘请世界冠军莫慧兰、邢傲伟、王丽萍担任活动平面形象代言； 2010 年，组织《水星家纺·群星耀中国》大型主题活动，活动周期达60 天，邀请李易峰、柳岩、尚雯婕、萧蔷、焦恩俊以及田亮夫妇、翁虹夫妇、任静付笛生夫妇、冯远征夫妇等 50 余位大陆、港台知名影视明星，举行了“明星设计家”、“明星生活家”、“来我家吧”、爱心拍卖、大型歌会等多场活动，传递“绿色健康、低碳环保、慈善关爱、乐享人生”的生活理念； 2013 年，组织《金牌品质年》活动，邀请奥运冠军杨威担任金牌形象代言人；“执手爱·幸福爱”婚庆水星品牌发布会； 											
推广方式 	主要内容 										
2014 年“，中国好被芯、当然选水星”发布会；金宇彬代言发布会；婚庆产业联盟发布会； 2015 年，浙江嘉兴姚庄体育馆赞助冠名； 2015 年，美国著名摇滚歌星亚当·兰伯特代言水星 2015 双十一活动； 2016 年，与乐视娱乐合作赞助“MR.Fantastic”2016 吴亦凡超级生日会； 2016 年，尝试体育营销，与上海奉贤冬泳会合作冠名“上海水星家纺冬泳会”。 											
											
品牌名称 	产品所获荣誉 	品牌所获荣誉 									
水星 	上海名牌产品 	中国驰名商标 									
水星 	上海名牌产品 	中国驰名商标 									
水星 	上海名牌产品 	上海市著名商标 									
水星 	上海名牌产品 	上海市著名商标 									
水星 	上海名牌产品 	2016 中国纺织服装行业品牌价值50 强企业 									
水星 	上海名牌产品 	2016 中国纺织服装行业品牌价值50 强企业 									
百丽丝 	- 	中国驰名商标 									
百丽丝 	- 	中国驰名商标 									
											
项目 	所获荣誉 										
牛奶蛋白纤维被 	中国国际专利与名牌博览会金奖 										
玉米纤维床护垫 	中国国际专利与名牌博览会金奖 										
玉米纤维床护垫 	中国国际专利与名牌博览会金奖 										
玉米纤维毛绒面料 	上海市重点新产品 										
玉米纤维毛绒面料 	上海市重点新产品 										
水星玉米纤维毛绒面料 	上海市高新技术成果转化项目 										
水星玉米纤维毛绒面料 	上海市高新技术成果转化项目 										
天丝和精梳棉交织超柔家纺套件 	上海市奉贤区专利新产品 										
天丝和精梳棉交织超柔家纺套件 	上海市奉贤区专利新产品 										
											
产品名称 	产品明细 										
套件 	床单、被套、枕套、床罩等单件组成的产品组合，如：单件、四件套、多件套等 										
套件 	床单、被套、枕套、床罩等单件组成的产品组合，如：单件、四件套、多件套等 										
被芯 	被芯，包括蚕丝被、羊毛被、羽绒被、多孔纤维被等 										
被芯 	被芯，包括蚕丝被、羊毛被、羽绒被、多孔纤维被等 										
枕芯 	多孔纤维枕、保健枕、乳胶枕、羽绒枕等 										
毛毯 	拉舍尔毛毯、绒毛毯等 										
毛毯 	拉舍尔毛毯、绒毛毯等 										
 其他 	多功能床垫、传统床垫、毛巾、凉席、蚊帐、家居服等 										
 其他 	多功能床垫、传统床垫、毛巾、凉席、蚊帐、家居服等 										
											
项目 	经销模式 	经销模式 	直营模式 	直营模式 							
项目 	总经销商 	直属加盟商 	直营专卖店 	商场专柜 							
店铺来源 	租赁/购买或加盟商租赁/购买 	租赁/购买 	租赁/购买/自建 	商场提供 							
销售方式 	总经销商向加盟商批发或者通过其自营网点零售 	加盟商通过加盟店以零售方式销售给消费者 	以零售方式直接向消费者销售产品 	与直营专卖店相同 							
产品定价 	发行人以经销价向总经销商销售，总经销商以出厂价向加盟商销售，加盟店以终端零售价对外零售 	发行人以出厂价向加盟商销售，加盟商通过专卖店以终端零售价对外零售 	直营专卖店以终端零售价对外零售 	直营专柜以终端零售价对外零售 							
促销政策 	发行人制定促销方案并给出促销指导价格 	发行人制定促销方案并给出促销指导价格 	按照发行人促销政策打折销售 	按照发行人或 商场促销政策 打折销售 							
日常管理 	加盟商负责，总经销商和发行人监督 	加盟商负责，发行人监督 	发行人负责 	发行人负责 							
货款结算 	款到发货，但给予一定授信。 	款到发货，但给予一定授信。 	现金结算 	与商场分成 							
信用政策 	根据授信支持标准执行 	根据授信支持标准执行 	不涉及 	售后定期结算 							
											
项 目 	2016 年 	2015 年 	2014 年 								
公司以广告活动补贴形式承担 	2,352.38   	2,499.47   	1,818.07   								
总经销商承担 	2,352.38   	2,499.47   	1,818.07   								
下属经销商自行承担 	2,375.66   	2,606.16   	1,978.08   								
											
项 目 	2016 年 	2015 年 	2014 年 								
公司以广告活动补贴形式承担 	616.92   	951.99   	520.89   								
直属加盟商自行承担 	621.70   	1,023.24   	592.95   								
											
年度 	序号 	总经销商名称 	授信额度 	信用期 	应收账款余额 	逾期金额 					
2016年 	1 	云南水百贸易有限公司 	660 	5 个月 	334.14 	- 					
2016年 	2 	何平 	270 	5 个月 	248.61 	- 					
2016年 	3 	郑州旺誉家居用品有限公司 	160 	12 个月 	148.80 	- 					
2016年 	4 	长沙市亚平电子商务有限公司 	180 	5 个月 	142.51 	- 					
2016年 	5 	漳州市芗城星盛贸易有限公司 	182 	5 个月 	142.16 	- 					
2016年 	 	合 计 	 	 	1,016.22 	- 					
2015年 	1 	何平 	315 	5 个月 	223.40 	- 					
2015年 	2 	苍南星澜商贸有限公司 	225 	3 个月 	159.65 	- 					
2015年 	3 	成都市紫晶家纺有限责任公司 	150 	6 个月 	138.94 	- 					
2015年 	4 	李明琴 	142 	10 个月 	137.82 	- 					
2015年 	5 	漳州市星阁贸易有限公司 	150 	6 个月 	133.58 	- 					
2015年 	 	合 计 	 	 	793.39 	- 					
2014年 	1 	临沂市亚伦商贸有限公司 	600 	3 个月 	450.24 	- 					
2014年 	2 	冠县馨瑞居商贸有限公司 	450 	4 个月 	425.14 	- 					
2014年 	3 	兰州权之娇商贸有限公司 	270 	4 个月 	254.15 	- 					
2014年 	4 	苍南星澜商贸有限公司 	300 	6 个月 	248.23 	- 					
2014年 	5 	南昌骏业贸易有限公司 	240 	5 个月 	229.71 	- 					
2014年 	 	合 计 	 	 	1,607.46 	- 					
											
2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 						
金额 	占主营业务收入比重 	金额 	占主营业务收入比重 	金额 	占主营业务收入比重 						
64,055.26 	32.75% 	46,394.21 	25.51% 	35,877.55 	20.69% 						
											
2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 						
金额 	占收入比重 	金额 	占收入比重 	金额 	占收入比重 						
2,730.95 	1.38% 	2,441.05 	1.32% 	2,082.62 	1.17% 						
											
产品 	项目 	项目 	 	2016 年度 	2015 年度 	2014 年度 					
标准套件类 	自有产能 	自有产能 	① 	103 	103 	103 					
标准套件类 	总产量 	总产量 	② 	226.4 	214.92 	195.06 					
标准套件类 	自有产量 	自有产量 	③ 	141.63 	138.52 	115.86 					
标准套件类 	外协产量 	外协产量 	④ 	72.17 	66.02 	68.45 					
产品 	项目 	项目 	 	2016 年度 	2015 年度 	2014 年度 					
定制生产量（即外购量） 	定制生产量（即外购量） 	⑤ 	12.6 	10.38 	10.76 						
销量 	销量 	⑥ 	213.22 	208.45 	173.63 						
自有产能利用率 	自有产能利用率 	⑦ 	137.50% 	134.49% 	112.49% 						
产销率 	产销率 	⑧ 	94.18% 	96.99% 	89.01% 						
自有产能 	自有产能 	① 	299 	299 	299 						
总产量 	总产量 	② 	392.32 	322.89 	402.61 						
自有产量 	自有产量 	③ 	349 	299.48 	339.87 						
外协产量 	外协产量 	④ 	0.75 	0.14 	0 						
定制生产量（即外购量） 	定制生产量（即外购量） 	⑤ 	42.57 	23.27 	62.74 						
销量 	销量 	⑥ 	390.26 	355.52 	333.66 						
自有产能利用率 	自有产能利用率 	⑦ 	116.72% 	100.16% 	113.67% 						
产销率 	产销率 	⑧ 	99.47% 	110.11% 	82.87% 						
自有产能 	自有产能 	① 	254 	254 	254 						
总产量 	总产量 	② 	437.84 	436.08 	364.09 						
自有产量 	自有产量 	③ 	304.58 	340.34 	236.52 						
外协产量 	外协产量 	④ 	0 	- 	- 						
定制生产量（即外购量） 	定制生产量（即外购量） 	⑤ 	133.27 	95.74 	127.57 						
销量 	销量 	⑥ 	417.96 	424.64 	353.74 						
自有产能利用率 	自有产能利用率 	⑦ 	119.91% 	133.99% 	93.12% 						
产销率 	产销率 	⑧ 	95.46% 	97.37% 	97.16% 						
											
被芯类 											
枕芯类 											
											
项 目 	项 目 	项 目 	2016 年度 	2015 年度 	2014 年度 						
标准套件类 	高档 	产量 	16.77 	27.83 	25.71 						
标准套件类 	高档 	销量 	18.28 	26.75 	22.69 						
标准套件类 	高档 	产销率 	109.05% 	96.09% 	88.25% 						
标准套件类 	中档 	产量 	102.00 	94.06 	96.87 						
标准套件类 	中档 	销量 	94.73 	91.98 	87.89 						
标准套件类 	中档 	产销率 	92.88% 	97.79% 	90.73% 						
标准套件类 	基础款 	产量 	107.65 	93.02 	72.48 						
标准套件类 	基础款 	销量 	100.21 	89.72 	63.04 						
标准套件类 	基础款 	产销率 	93.09% 	96.46% 	86.98% 						
被芯类 	高档 	产量 	52.10 	46.61 	76.07 						
											
销量 	51.37 	55.07 	59.57 								
产销率 	98.61% 	118.15% 	78.30% 								
产量 	119.33 	112.70 	173.89 								
销量 	126.10 	132.52 	136.63 								
产销率 	105.67% 	117.59% 	78.57% 								
产量 	220.88 	163.59 	152.64 								
销量 	212.78 	167.94 	137.46 								
产销率 	96.33% 	102.66% 	90.05% 								
产量 	42.38 	35.25 	33.96 								
销量 	40.69 	33.33 	31.73 								
产销率 	96.02% 	94.56% 	93.43% 								
产量 	128.82 	95.78 	108.78 								
销量 	118.05 	99.07 	106.74 								
产销率 	91.64% 	103.43% 	98.13% 								
产量 	266.64 	305.04 	221.35 								
销量 	259.22 	292.23 	215.27 								
产销率 	97.22% 	95.80% 	97.25% 								
											
中档 											
基础款 											
高档 											
中档 											
基础款 											
											
大 区 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 					
大 区 	金额 	比例 	金额 	比例 	金额 	比例 					
国内销售小计 	194,273.84 	99.34% 	180,434.73 	99.23% 	172,142.43   	99.28% 					
电商 	64,055.26   	32.75% 	  46,394.21   	25.51% 	  35,877.55   	20.69% 					
华东 	45,944.11   	23.49% 	  47,304.96   	26.02% 	  46,893.52   	27.05% 					
华北 	21,211.97   	10.85% 	22,973.69 	12.63% 	  24,917.64   	14.37% 					
西南 	23,216.13   	11.87% 	23,452.86 	12.90% 	  22,096.91   	12.74% 					
华中 	19,491.91   	9.97% 	20,405.40 	11.22% 	  23,413.32   	13.50% 					
东北 	  8,484.01   	4.34% 	7,884.11 	4.34% 	  7,587.70   	4.38% 					
华南 	  5,203.29   	2.66% 	6,020.26 	3.31% 	  6,206.87   	3.58% 					
西北 	  6,667.16   	3.41% 	5,999.24 	3.30% 	  5,148.91   	2.97% 					
国外销售小计 	  1,294.35   	0.66% 	1,400.54 	0.77% 	  1,242.25   	0.72% 					
合 计 	195,568.18 	100.00% 	181,835.28   	100.00% 	173,384.69   	100.00% 					
											
渠 道 	渠 道 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 				
渠 道 	渠 道 	金额 	比例 	金额 	比例 	金额 	比例 				
加盟 渠道 	总经销商 加盟 	91,822.13 	46.95% 	  97,875.00   	53.83% 	101,674.99   	58.64% 				
加盟 渠道 	直属加盟 	24,426.86 	12.49% 	  23,768.73   	13.07% 	22,557.75   	13.01% 				
电商渠道 	电商渠道 	64,055.26 	32.75% 	  46,394.21   	25.51% 	  35,877.55   	20.69% 				
直营渠道 	直营渠道 	11,270.60 	5.76% 	  10,525.02   	5.79% 	  9,682.93   	5.58% 				
其他 	其他 	3,993.33 	2.04% 	  3,272.32   	1.80% 	 3,591.47 	2.08% 				
合 计 	合 计 	195,568.18 	100.00% 	181,835.28   	100.00% 	173,384.69 	100.00% 				
											
产品名称 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 					
产品名称 	平均售价 	增幅 	平均售价 	增幅 	平均售价 	增幅 					
套件 	427.56 	0.78% 	424.25 	-5.55% 	449.18   	6.20% 					
被芯 	200.44 	1.66% 	197.16   	-9.23% 	217.21   	9.17% 					
枕芯 	34.07 	5.26% 	32.37   	-3.15% 	33.42 	1.42% 					
											
年度 	排名 	单位名称 	销售收入（万元） 	销售收入（万元） 	占营业收入的比例 						
											
2016 年 	1 	唯品会（中国）有限公司 	9,196.74 	9,196.74 	4.65% 						
2016 年 											
2016 年 	2 	云南水百贸易有限公司（注 2） 	1,960.63 	1,960.63 	0.99% 						
2016 年 	2 										
2016 年 	2 	云南水星家用纺织品有限公司 	6,814.38 	6,814.38 	3.45% 						
2016 年 	2 										
2016 年 	2 	小计 	8,775.01 	8,775.01 	4.44% 						
2016 年 											
2016 年 	3 	北京京东世纪贸易有限公司 	5,392.11 	5,392.11 	2.73% 						
2016 年 											
2016 年 	4 	株洲海洋实业有限公司 	2,309.09 	2,309.09 	1.17% 						
2016 年 	4 										
2016 年 	4 	株洲三叶贸易有限公司 	2,204.31 	2,204.31 	1.11% 						
2016 年 	4 										
2016 年 	4 	小计 	4,513.40 	4,513.40 	2.28% 						
2016 年 											
2016 年 	5 	临沂市路得家纺有限公司 	2,299.93 	2,299.93 	1.16% 						
年度 	排名 	单位名称 	销售收入（万元） 	销售收入（万元） 	占营业收入的比例 						
											
临沂市亚伦商贸有限公司 	1,744.96 	1,744.96 	0.88% 								
											
小计 	4,044.89 	4,044.89 	2.05% 								
											
合计 	合计 	31,922.15 	31,922.15 	16.15% 							
											
1 	云南水百贸易有限公司（注 2） 	2,003.90 	2,003.90 	1.08% 							
1 											
1 	云南水星家用纺织品有限公司 	5,240.20 	5,240.20 	2.83% 							
1 											
1 	小计 	7,244.10 	7,244.10 	3.91% 							
											
2 	唯品会（中国）有限公司 	4,988.19 	4,988.19 	2.69% 							
											
3 	临沂市路得家纺有限公司 	3,045.04 	3,045.04 	1.64% 							
3 											
3 	临沂市亚伦商贸有限公司 	1,463.08 	1,463.08 	0.79% 							
3 											
3 	小计 	4,508.12 	4,508.12 	2.44% 							
											
4 	株洲海洋实业有限公司 	2,389.64 	2,389.64 	1.29% 							
4 											
4 	株洲三叶贸易有限公司 	2,002.29 	2,002.29 	1.08% 							
4 											
4 	小计 	4,391.93 	4,391.93 	2.37% 							
											
5 	北京京东世纪贸易有限公司 	4,345.12 	4,345.12 	2.35% 							
											
合计 	合计 	25,477.46 	25,477.46 	13.76% 							
											
1 	株洲海洋实业有限公司 	2,657.01 	2,657.01 	1.50% 							
1 											
1 	株洲三叶贸易有限公司 	2,479.43 	2,479.43 	1.40% 							
1 											
1 	小计 	5,136.44 	5,136.44 	2.90% 							
											
2 	临沂市路得家纺有限公司 	2,599.53 	2,599.53 	1.46% 							
2 											
2 	临沂市亚伦商贸有限公司 	2,281.91 	2,281.91 	1.29% 							
2 											
2 	小计 	4,881.44 	4,881.44 	2.75% 							
											
3 	河南水星家用纺织品有限公司 	566.32 	566.32 	0.32% 							
3 											
3 	洛阳庆邦商贸有限公司 	2,835.39 	2,835.39 	1.60% 							
3 											
3 	小计 	3,401.71 	3,401.71 	1.92% 							
											
4 	重庆诺诗曼贸易有限公司 	2,958.44 	2,958.44 	1.67% 							
											
5 	南昌骏业贸易有限公司 	2,673.68 	2,673.68 	1.51% 							
5 											
5 	南昌（李雪莲） 	109.6 	109.6 	0.06% 							
5 											
5 	小计 	2,783.28 	2,783.28 	1.57% 							
											
合计 	合计 	19,161.31 	19,161.31 	10.79% 							
											
2015 年 											
											
2014 年 											
											
年度 	序号 	名称 	销售方式 	销售金额 （万元） 	占营业收入 比例 						
2016 年 	1 	云南水星家用纺织品有限公司 	买断 	6,814.38 	3.45% 						
2016 年 	1 	云南水百贸易有限公司 	买断 	1,960.63 	0.99% 						
2016 年 	1 	小 计 	 	8,775.01 	4.44% 						
2016 年 	2 	株洲海洋实业有限公司 	买断 	2,309.09 	1.17% 						
2016 年 	2 	株洲三叶贸易有限公司 	买断 	2,204.31 	1.11% 						
2016 年 	2 	小 计 	 	4,513.40 	2.28% 						
2016 年 	3 	临沂市路得家纺有限公司 	买断 	2,299.93 	1.16% 						
2016 年 	3 	临沂市亚伦商贸有限公司 	买断 	1,744.96 	0.88% 						
2016 年 	3 	小 计 	 	4,044.89 	2.05% 						
2016 年 	4 	重庆诺诗曼贸易有限责任公司 	买断 	 3,720.35   	1.88% 						
2016 年 	5 	南昌骏业贸易有限公司 	买断 	  3,451.53   	1.75% 						
2016 年 	5 	李雪莲 	买断 	  0.37   	0.00% 						
2016 年 	5 	小 计 	 	3,451.90 	1.75% 						
2016 年 	 	合 计 	 	24,505.54 	12.4% 						
2015 年 	1 	云南水星家用纺织品有限公司 	买断 	5,240.20 	2.83% 						
2015 年 	1 	云南水百贸易有限公司 	买断 	2,003.90 	1.08% 						
2015 年 	1 	小 计 	 	7,244.11 	3.91% 						
2015 年 	2 	临沂市路得家纺有限公司 	买断 	3,045.04 	1.64% 						
2015 年 	2 	临沂市亚伦商贸有限公司 	买断 	1,463.08 	0.79% 						
2015 年 	2 	小 计 	 	4,508.12 	2.44% 						
2015 年 	3 	株洲海洋实业有限公司 	买断 	2,389.64 	1.29% 						
2015 年 	3 	株洲三叶贸易有限公司 	买断 	2,002.29 	1.08% 						
2015 年 	3 	小 计 	 	4,391.93 	2.37% 						
2015 年 	4 	南昌骏业贸易有限公司 	买断 	  3,600.42   	1.94% 						
2015 年 	4 	李雪莲 	买断 	6.91 	0.00% 						
											
小 计 	 	3,607.33 	1.94% 								
洛阳庆邦商贸有限公司 	买断 	  2,042.23   	1.10% 								
河南水星家用纺织品有限公司 	买断 	  1,127.23   	0.61% 								
小 计 	 	3,169.45 	1.71% 								
合 计 	 	22,920.96 	12.38% 								
株洲海洋实业有限公司 	买断 	2,657.01 	1.50% 								
株洲三叶贸易有限公司 	买断 	2,479.43 	1.40% 								
